x,y,z
-30.58270735,36.88808771,-299999.9962
-88.64219892,112.9948048,-299999.9656
-142.3276764,191.8824772,-299999.9049
-191.3868793,273.141822,-299999.8146
-235.5998837,356.3458056,-299999.6959
-274.7804519,441.0523261,-299999.5499
-308.7771638,526.806995,-299999.3786
-337.474322,613.1460004,-299999.1836
-360.792626,699.5990315,-299998.9673
-378.6896099,785.6922478,-299998.7321
-391.1598416,870.9512725,-299998.4807
-398.2348826,954.9041916,-299998.2159
-399.9830071,1037.084539,-299997.9408
-396.508685,1117.034247,-299997.6583
-387.951829,1194.306549,-299997.3719
-374.4868132,1268.468808,-299997.0846
-356.3212686,1339.105256,-299996.7997
-333.6946628,1405.819628,-299996.5205
-306.8766745,1468.237675,-299996.2502
-276.1653714,1526.009534,-299995.9917
-241.8852058,1578.811943,-299995.748
-204.3848378,1626.350292,-299995.522
-164.0348031,1668.360485,-299995.3161
-121.2250388,1704.610613,-299995.1326
-76.362283,1734.902422,-299994.9738
-29.86736669,1759.07256,-299994.8412
17.8275868,1776.993614,-299994.7366
66.28203489,1788.574903,-299994.661
115.0499438,1793.763052,-299994.6152
163.6827522,1792.542317,-299994.6
211.7323516,1784.934673,-299994.6152
258.7540644,1770.999668,-299994.661
304.3095991,1750.834028,-299994.7366
347.969966,1724.571029,-299994.8412
389.3183317,1692.379641,-299994.9738
427.9527962,1654.463435,-299995.1326
463.4890741,1611.05928,-299995.3161
495.5630609,1562.435818,-299995.522
523.8332711,1508.891748,-299995.748
547.9831289,1450.753908,-299995.9917
567.7230992,1388.375182,-299996.2502
582.7926435,1322.132251,-299996.5205
592.9619895,1252.423176,-299996.7997
598.0337012,1179.664861,-299997.0846
597.8440413,1104.290386,-299997.3719
592.264115,1026.746251,-299997.6583
581.2007896,947.4895189,-299997.9408
564.5973831,866.9849087,-299998.2159
542.4341168,785.7018326,-299998.4807
514.72833,704.1114082,-299998.7321
481.5344548,622.683461,-299998.9673
442.9437505,541.8835388,-299999.1836
399.0838011,462.1699542,-299999.3786
350.1177764,383.9908771,-299999.5499
296.2434642,307.7814944,-299999.6959
237.6920775,233.9612549,-299999.8146
174.7268458,162.9312182,-299999.9049
107.6413986,95.07152396,-299999.9656
36.75795204,30.73899747,-299999.9962
-37.57468966,-29.73509207,-299999.9962
-114.9833061,-86.04710729,-299999.9656
-195.0725906,-137.9229384,-299999.9049
-277.4276243,-185.1197067,-299999.8146
-361.6164778,-227.4272662,-299999.6959
-447.1929245,-264.6694908,-299999.5499
-533.699247,-296.7053431,-299999.3786
-620.6691197,-323.4297136,-299999.1836
-707.6305487,-344.774028,-299998.9673
-794.1088495,-360.7066176,-299998.7321
-879.6296447,-371.2328501,-299998.4807
-963.7218609,-376.3950208,-299998.2159
-1045.920707,-376.2720049,-299997.9408
-1125.770612,-370.978672,-299997.6583
-1202.828111,-360.6650685,-299997.3719
-1276.664646,-345.5153715,-299997.0846
-1346.869285,-325.7466224,-299996.7997
-1413.051317,-301.6072471,-299996.5205
-1474.842727,-273.3753734,-299996.2502
-1531.900529,-241.3569559,-299995.9917
-1583.90893,-205.883721,-299995.748
-1630.581332,-167.3109451,-299995.522
-1671.662144,-126.0150794,-299995.3161
-1706.928393,-82.39123885,-299995.1326
-1736.191132,-36.85056928,-299994.9738
-1759.296635,10.18248913,-299994.8412
-1776.127355,58.27302461,-299994.7366
-1786.602665,106.9785446,-299994.661
-1790.679356,155.8519158,-299994.6152
-1788.351899,204.4443349,-299994.6
-1779.652464,252.3083097,-299994.6152
-1764.650706,299.0006331,-299994.661
-1743.453301,344.0853293,-299994.7366
-1716.203258,387.1365533,-299994.8412
-1683.078989,427.741426,-299994.9738
-1644.293164,465.5027857,-299995.1326
-1600.091336,500.0418382,-299995.3161
-1550.750368,531.0006887,-299995.522
-1496.576651,558.0447394,-299995.748
-1437.904147,580.8649364,-299995.9917
-1375.09224,599.1798525,-299996.2502
-1308.523442,612.7375911,-299996.5205
-1238.600943,621.3175006,-299996.7997
-1165.746032,624.7316863,-299997.0846
-1090.395406,622.8263114,-299997.3719
-1012.99838,615.4826784,-299997.6583
-934.0140214,602.618083,-299997.9408
-853.9082178,584.1864364,-299998.2159
-773.1507102,560.1786502,-299998.4807
-692.2120994,530.6227834,-299998.7321
-611.5608502,495.5839487,-299998.9673
-531.6603123,455.1639793,-299999.1836
-452.9657754,409.5008586,-299999.3786
-375.9215791,358.7679159,-299999.5499
-300.958295,303.1727941,-299999.6959
-228.4900002,242.9561943,-299999.8146
-158.9116585,178.390407,-299999.9049
-92.59662703,109.777639,-299999.9656
-29.89430399,37.44814538,-299999.9962
28.87206716,-38.24181928,-299999.9962
83.40742343,-116.9122195,-299999.9656
133.4467245,-198.1616115,-299999.9049
178.7565995,-281.5696551,-299999.8146
219.1367889,-366.6997494,-299999.6959
254.4213699,-453.101774,-299999.5499
284.4797607,-540.3149198,-299999.3786
309.217494,-627.8705895,-299999.1836
328.5767576,-715.2953503,-299998.9673
342.5366962,-802.11392,-299998.7321
351.1134744,-887.8521662,-299998.4807
354.3600998,-972.0401003,-299998.2159
352.3660072,-1054.214847,-299997.9408
345.2564067,-1133.923569,-299997.6583
333.1914004,-1210.72633,-299997.3719
316.3648733,-1284.198878,-299997.0846
295.0031645,-1353.935326,-299996.7997
269.3635294,-1419.550719,-299996.5205
239.7324009,-1480.683471,-299996.2502
206.4234618,-1536.997646,-299995.9917
169.7755411,-1588.185087,-299995.748
130.1503468,-1633.967356,-299995.522
87.93005084,-1674.097497,-299995.3161
43.51474131,-1708.36159,-299995.1326
-2.680241514,-1736.580096,-299994.9738
-50.22706807,-1758.608988,-299994.8412
-98.68826358,-1774.340653,-299994.7366
-147.6196148,-1783.704555,-299994.661
-196.5731207,-1786.667676,-299994.6152
-245.0999684,-1783.234703,-299994.6
-292.7535139,-1773.447985,-299994.6152
-339.0922507,-1757.387247,-299994.661
-383.682744,-1735.169063,-299994.7366
-426.1025146,-1706.946097,-299994.8412
-465.9428517,-1672.906115,-299994.9738
-502.8115375,-1633.270771,-299995.1326
-536.3354654,-1588.294177,-299995.3161
-566.1631358,-1538.261271,-299995.522
-591.9670119,-1483.485983,-299995.748
-613.4457221,-1424.309221,-299995.9917
-630.3260926,-1361.096683,-299996.2502
-642.3649995,-1294.236517,-299996.5205
-649.3510262,-1224.13683,-299996.7997
-651.1059164,-1151.223079,-299997.0846
-647.485814,-1075.935349,-299997.3719
-638.3822801,-998.725543,-299997.6583
-623.7230815,-920.0544896,-299997.9408
-603.4727465,-840.3890058,-299998.2159
-577.632882,-760.1989177,-299998.4807
-546.242252,-679.9540653,-299998.7321
-509.3766161,-600.1213101,-299998.9673
-467.1483283,-521.1615634,-299999.1836
-419.7057002,-443.526856,-299999.3786
-367.232131,-367.657467,-299999.5499
-309.9450107,-293.9791298,-299999.6959
-248.0944037,-222.9003351,-299999.8146
-181.9615209,-154.809746,-299999.9049
-111.8569892,-90.07374372,-299999.9656
-38.11893195,-29.03411838,-299999.9962
38.88913082,27.99407987,-299999.9962
118.7805455,80.72451532,-299999.9656
201.147939,128.9013544,-299999.9049
285.5657679,172.3008552,-299999.8146
371.592986,210.7327483,-299999.6959
458.7758125,244.0414001,-299999.5499
546.6505851,272.1067522,-299999.3786
634.7466777,294.8450286,-299999.1836
722.5894642,312.2092088,-299998.9673
809.7033107,324.1892618,-299998.7321
895.6145757,330.812141,-299998.4807
979.854599,332.1415386,-299998.2159
1061.962661,328.2774026,-299997.9408
1141.488892,319.3552189,-299997.6583
1217.997114,305.5450625,-299997.3719
1291.067599,287.0504252,-299997.0846
1360.299716,264.106827,-299996.7997
1425.314467,236.9802194,-299996.5205
1485.756879,205.9651918,-299996.2502
1541.298245,171.3829928,-299995.9917
1591.638198,133.5793783,-299995.748
1636.506609,92.92230065,-299995.522
1675.665282,49.79945427,-299995.3161
1708.909462,4.615693105,-299995.1326
1736.06911,-42.20966333,-299994.9738
1757.009977,-90.24561783,-299994.8412
1771.634434,-139.0523593,-299994.7366
1779.882076,-188.184184,-299994.661
1781.730091,-237.1924555,-299994.6152
1777.193381,-285.6285836,-299994.6
1766.324452,-333.0470044,-299994.6152
1749.213058,-379.0081404,-299994.661
1725.985608,-423.0813227,-299994.7366
1696.804346,-464.8476567,-299994.8412
1661.866291,-503.9028118,-299994.9738
1621.401967,-539.8597171,-299995.1326
1575.673916,-572.3511474,-299995.3161
1524.975001,-601.03218,-299995.522
1469.626527,-625.5825093,-299995.748
1409.976174,-645.7086016,-299995.9917
1346.395765,-661.1456787,-299996.2502
1279.278879,-671.6595149,-299996.5205
1209.038331,-677.0480383,-299996.7997
1136.103526,-677.1427237,-299997.0846
1060.91771,-671.8097699,-299997.3719
983.9351359,-660.9510527,-299997.6583
905.6181576,-644.5048478,-299997.9408
826.4342788,-622.4463188,-299998.2159
746.8531671,-594.7877669,-299998.4807
667.3436585,-561.5786413,-299998.7321
588.3707688,-522.905309,-299998.9673
510.3927327,-478.8905869,-299999.1836
433.8580876,-429.6930377,-299999.3786
359.2028237,-375.5060352,-299999.5499
286.8476158,-316.5566043,-299999.6959
217.1951562,-253.1040431,-299999.8146
150.6276063,-185.4383367,-299999.9049
87.50418147,-113.8783719,-299999.9656
28.15888641,-38.76996414,-299999.9962
-27.1015852,39.51628883,-299999.9962
-77.99977332,120.5873157,-299999.9656
-124.2891838,204.0300255,-299999.9049
-165.7558194,289.413892,-299999.8146
-202.2194995,376.2936518,-299999.6959
-233.5349607,464.2120994,-299999.5499
-259.5927298,552.7029595,-299999.3786
-280.3197656,641.2938209,-299999.1836
-295.6798637,729.5091103,-299998.9673
-305.6738228,816.8730886,-299998.7321
-310.3393708,902.9128506,-299998.4807
-309.7508516,987.1613074,-299998.2159
-304.0186748,1069.160134,-299997.9408
-293.2885317,1148.462661,-299997.6583
-277.7403818,1224.636695,-299997.3719
-257.5872189,1297.267249,-299997.0846
-233.0736214,1365.959158,-299996.7997
-204.474099,1430.339574,-299996.5205
-172.0912453,1490.060323,-299996.2502
-136.253708,1544.800096,-299995.9917
-97.31399065,1594.266475,-299995.748
-55.64609935,1638.197774,-299995.522
-11.64305011,1676.364687,-299995.3161
34.28574709,1708.571725,-299995.1326
81.71721082,1734.658442,-299994.9738
130.2173996,1754.500431,-299994.8412
179.3443939,1768.0101,-299994.7366
228.6512305,1775.137208,-299994.661
277.6888699,1775.869158,-299994.6152
326.0091775,1770.231063,-299994.6
373.1678999,1758.285556,-299994.6152
418.7276165,1740.132373,-299994.661
462.2606478,1715.907695,-299994.7366
503.3519007,1685.783259,-299994.8412
541.6016341,1649.965237,-299994.9738
576.6281251,1608.692904,-299995.1326
608.0702196,1562.237092,-299995.3161
635.5897511,1510.898442,-299995.522
658.8738107,1455.005466,-299995.748
677.6368553,1394.912435,-299995.9917
691.622639,1330.997103,-299996.2502
700.605956,1263.65828,-299996.5205
704.3941837,1193.313273,-299996.7997
702.8286151,1120.395211,-299997.0846
695.7855735,1045.350272,-299997.3719
683.1773004,968.6348238,-299997.6583
664.9526121,890.7125068,-299997.9408
641.0973205,812.0512684,-299998.2159
611.6344148,733.1203745,-299998.4807
576.6240035,654.3874139,-299998.7321
536.1630165,576.315316,-299998.9673
490.3846698,499.359401,-299999.1836
439.4576952,423.9644808,-299999.3786
383.5853409,350.5620307,-299999.5499
323.0041487,279.5674486,-299999.6959
257.9825163,211.3774203,-299999.8146
188.8190529,146.3674069,-299999.9049
115.8407392,84.8892719,-299999.9656
39.40090456,27.26906165,-299999.9962
-40.12296831,-26.19504567,-299999.9962
-122.331594,-75.23460947,-299999.9656
-206.8063775,-119.6126027,-299999.9049
-293.112033,-159.1248838,-299999.8146
-380.7993109,-193.6014546,-299999.6959
-469.4078175,-222.9074964,-299999.5499
-558.4689065,-246.9441786,-299999.3786
-647.5086263,-265.6492324,-299999.1836
-736.0507026,-278.9972884,-299998.9673
-823.6195381,-286.9999744,-299998.7321
-909.7432087,-289.7057733,-299998.4807
-993.9564389,-287.1996423,-299998.2159
-1075.803535,-279.6023953,-299997.9408
-1154.841261,-267.0698534,-299997.6583
-1230.641633,-249.7917677,-299997.3719
-1302.794616,-227.9905231,-299997.0846
-1370.910718,-201.9196299,-299996.7997
-1434.623436,-171.8620139,-299996.5205
-1493.591573,-138.1281158,-299996.2502
-1547.501385,-101.0538123,-299995.9917
-1596.068554,-60.99817193,-299995.748
-1639.039975,-18.34106055,-299995.522
-1676.195349,26.51938783,-299995.3161
-1707.348555,73.16941937,-299995.1326
-1732.34882,121.18241,-299994.9738
-1751.081648,170.1216987,-299994.8412
-1763.46953,219.5434867,-299994.7366
-1769.47241,268.999783,-299994.661
-1769.087917,318.0413775,-299994.6152
-1762.351358,366.2208235,-299994.6
-1749.335462,413.0954084,-299994.6152
-1730.149898,458.2300954,-299994.661
-1704.940547,501.2004154,-299994.7366
-1673.888548,541.5952925,-299994.8412
-1637.20912,579.0197821,-299994.9738
-1595.150167,613.0977068,-299995.1326
-1547.99067,643.4741714,-299995.3161
-1496.03889,669.8179404,-299995.522
-1439.630377,691.8236639,-299995.748
-1379.125811,709.2139371,-299995.9917
-1314.908679,721.7411795,-299996.2502
-1247.382815,729.1893218,-299996.5205
-1176.969803,731.3752906,-299996.7997
-1104.106273,728.1502794,-299997.0846
-1029.241101,719.4008,-299997.3719
-952.8325358,705.049505,-299997.6583
-875.3452618,685.0557779,-299997.9408
-797.2474285,659.4160862,-299998.2159
-719.0076567,628.1640952,-299998.4807
-641.0920459,591.3705416,-299998.7321
-563.9611992,549.1428681,-299998.9673
-488.0672861,501.6246206,-299999.1836
-413.8511627,448.9946124,-299999.3786
-341.7395657,391.465861,-299999.5499
-272.1424011,329.2843026,-299999.6959
-205.4501421,262.7272952,-299999.8146
-142.0313554,192.1019172,-299999.9049
-82.23037014,117.7430744,-299999.9656
-26.36510524,40.01142623,-299999.9962
25.27493107,-40.70885485,-299999.9962
72.43045676,-124.0124763,-299999.9656
114.8740348,-209.4755562,-299999.9049
152.411485,-296.6582744,-299999.8146
184.8830794,-385.1076283,-299999.6959
212.1645147,-474.3602743,-299999.5499
234.1676534,-563.9454379,-299999.3786
250.8410317,-653.387873,-299999.1836
262.1701282,-742.2108512,-299998.9673
268.1773938,-829.939163,-299998.7321
268.9220415,-916.1021103,-299998.4807
264.4995974,-1000.236472,-299998.2159
255.0412174,-1081.889423,-299997.9408
240.7127714,-1160.621389,-299997.6583
221.7137039,-1236.008814,-299997.3719
198.2756757,-1307.646836,-299997.0846
170.6609976,-1375.151831,-299996.7997
139.1608647,-1438.163832,-299996.5205
104.0934043,-1496.348799,-299996.2502
65.80154756,-1549.400712,-299995.9917
24.6507421,-1597.043501,-299995.748
-18.97348314,-1639.032776,-299995.522
-64.66808262,-1675.157355,-299995.3161
-112.015173,-1705.240586,-299995.1326
-160.5848087,-1729.141443,-299994.9738
-209.9378356,-1746.755403,-299994.8412
-259.6288055,-1758.015076,-299994.7366
-309.2089316,-1762.890617,-299994.661
-358.2290665,-1761.389881,-299994.6152
-406.2426828,-1753.558349,-299994.6
-452.8088384,-1739.478811,-299994.6152
-497.4951055,-1719.270808,-299994.661
-539.8804458,-1693.089847,-299994.7366
-579.5580131,-1661.126377,-299994.8412
-616.1378644,-1623.604553,-299994.9738
-649.2495628,-1580.780775,-299995.1326
-678.5446554,-1532.942032,-299995.3161
-703.6990096,-1480.404046,-299995.522
-724.414993,-1423.509228,-299995.748
-740.4234827,-1362.624481,-299995.9917
-751.4856918,-1298.138829,-299996.2502
-757.3947997,-1230.460919,-299996.5205
-757.9773767,-1160.016392,-299996.7997
-753.0945942,-1087.245153,-299997.0846
-742.6432112,-1012.598546,-299997.3719
-726.5563315,-936.5364611,-299997.6583
-704.8039269,-859.5243864,-299997.9408
-677.3931224,-782.0304307,-299998.2159
-644.3682419,-704.5223273,-299998.4807
-605.8106136,-627.4644446,-299998.7321
-561.8381372,-551.3148205,-299998.9673
-512.6046142,-476.52224,-299999.1836
-458.298847,-403.5233744,-299999.3786
-399.1435116,-332.740001,-299999.5499
-335.3938114,-264.5763211,-299999.6959
-267.3359208,-199.4163935,-299999.8146
-195.2852286,-137.621699,-299999.9049
-119.5843916,-79.52885411,-299999.9656
-40.60121277,-25.44748563,-299999.9962
41.27364482,24.34171824,-299999.9962
125.6290916,69.58876839,-299999.9656
212.0361783,110.0759357,-299999.9049
300.0507785,145.6191018,-299999.8146
389.2163712,176.0688923,-299999.6959
479.0669032,201.3115828,-299999.5499
569.1297157,221.2697754,-299999.3786
658.9285143,235.9028375,-299999.1836
747.9863636,245.2071035,-299998.9673
835.8286883,249.2158356,-299998.7321
921.98626,247.9989461,-299998.4807
1005.998152,241.6624808,-299998.2159
1087.414643,230.3478693,-299997.9408
1165.800046,214.2309448,-299997.6583
1240.735458,193.5207413,-299997.3719
1311.821393,168.4580758,-299997.0846
1378.680298,139.3139235,-299996.7997
1440.958929,106.3875982,-299996.5205
1498.330571,70.00474831,-299996.2502
1550.497092,30.51518241,-299995.9917
1597.190813,-11.70946249,-299995.748
1638.176181,-56.2781942,-299995.522
1673.251244,-102.7832644,-299995.3161
1702.248908,-150.8028771,-299995.1326
1725.037973,-199.9039876,-299994.9738
1741.523936,-249.6451764,-299994.8412
1751.649566,-299.5795768,-299994.7366
1755.395241,-349.2578388,-299994.661
1752.779039,-398.2311102,-299994.6152
1743.856593,-446.0540148,-299994.6
1728.720708,-492.2876091,-299994.6152
1707.500739,-536.5022985,-299994.661
1680.361736,-578.2806938,-299994.7366
1647.503361,-617.2203893,-299994.8412
1609.158584,-652.9366454,-299994.9738
1565.592175,-685.0649579,-299995.1326
1517.098978,-713.263497,-299995.3161
1464.002011,-737.2154007,-299995.522
1406.650373,-756.6309083,-299995.748
1345.416998,-771.2493184,-299995.9917
1280.696244,-780.8407615,-299996.2502
1212.90136,-785.2077725,-299996.5205
1142.461825,-784.1866559,-299996.7997
1069.82059,-777.6486325,-299997.0846
995.4312324,-765.5007621,-299997.3719
919.7550448,-747.6866345,-299997.6583
843.2580794,-724.1868252,-299997.9408
766.4081611,-695.019113,-299998.2159
689.6718931,-660.2384574,-299998.4807
613.5116722,-619.9367362,-299998.7321
538.3827338,-574.2422448,-299998.9673
464.7302456,-523.3189606,-299999.1836
392.986468,-467.3655772,-299999.3786
323.5680003,-406.6143139,-299999.5499
256.8731297,-341.3295089,-299999.6959
193.2793012,-271.8060048,-299999.8146
133.1407228,-198.3673372,-299999.9049
76.78612381,-121.3637365,-299999.9656
24.51667836,-41.16995854,-299999.9962
-23.39589078,41.81704554,-299999.9962
-66.71101702,127.1806021,-299999.9656
-105.2207918,214.4869168,-299999.9049
-138.7512545,303.2877873,-299999.8146
-167.1634609,393.1234103,-299999.6959
-190.3543253,483.525265,-299999.5499
-208.2572287,574.0190533,-299999.3786
-220.8423914,664.1276789,-299999.1836
-228.117005,753.3742468,-299998.9673
-230.1251262,841.2850618,-299998.7321
-226.9473301,927.3926084,-299998.4807
-218.7001274,1011.238494,-299998.2159
-205.535148,1092.376331,-299997.9408
-187.6380972,1170.374551,-299997.6583
-165.2274904,1244.819116,-299997.3719
-138.5531758,1315.316125,-299997.0846
-107.8946528,1381.494291,-299996.7997
-73.55919834,1443.007276,-299996.5205
-35.87981378,1499.535863,-299996.2502
4.786996624,1550.789958,-299995.9917
48.06359888,1596.510412,-299995.748
93.55374019,1636.470633,-299995.522
140.8451809,1670.478003,-299995.3161
189.5124304,1698.375074,-299995.1326
239.1195701,1720.040535,-299994.9738
289.2231435,1735.389958,-299994.8412
339.3750968,1744.376298,-299994.7366
389.12575,1746.990167,-299994.661
438.0267786,1743.259854,-299994.6152
